Price,Adj Close,close,high,low,open,volume,aroon_oscillator
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,
Date,,,,,,,
2024-10-01,258.0199890136719,258.0199890136719,263.9800109863281,248.52999877929688,262.6700134277344,87397600,
2024-10-02,249.02000427246094,249.02000427246094,251.16000366210938,241.5,247.5500030517578,93983900,
2024-10-03,240.66000366210938,240.66000366210938,249.7899932861328,237.80999755859375,244.47999572753906,80729200,
2024-10-04,250.0800018310547,250.0800018310547,250.9600067138672,244.5800018310547,246.69000244140625,86573200,
2024-10-07,240.8300018310547,240.8300018310547,249.8300018310547,240.6999969482422,249.0,68113300,
2024-10-08,244.5,244.5,246.2100067138672,240.55999755859375,243.55999755859375,56303200,
2024-10-09,241.0500030517578,241.0500030517578,247.42999267578125,239.50999450683594,243.82000732421875,66289500,
2024-10-10,238.77000427246094,238.77000427246094,242.7899932861328,232.33999633789062,241.80999755859375,83087100,
2024-10-11,217.8000030517578,217.8000030517578,223.33999633789062,214.3800048828125,220.1300048828125,142628900,
2024-10-14,219.16000366210938,219.16000366210938,221.91000366210938,213.74000549316406,220.1300048828125,86291900,
2024-10-15,219.57000732421875,219.57000732421875,224.25999450683594,217.1199951171875,220.00999450683594,62988800,
2024-10-16,221.3300018310547,221.3300018310547,222.82000732421875,218.92999267578125,221.39999389648438,49632800,
2024-10-17,220.88999938964844,220.88999938964844,222.0800018310547,217.89999389648438,221.58999633789062,50791800,
2024-10-18,220.6999969482422,220.6999969482422,222.27999877929688,219.22999572753906,220.7100067138672,49611900,
2024-10-21,218.85000610351562,218.85000610351562,220.47999572753906,215.72999572753906,218.89999389648438,47329000,-64.28571428571429
2024-10-22,217.97000122070312,217.97000122070312,218.22000122070312,215.25999450683594,217.30999755859375,43268700,-57.142857142857146
2024-10-23,213.64999389648438,213.64999389648438,218.72000122070312,212.11000061035156,217.1300048828125,80938900,-92.85714285714286
2024-10-24,260.4800109863281,260.4800109863281,262.1199951171875,242.64999389648438,244.67999267578125,204491900,7.142857142857143
2024-10-25,269.19000244140625,269.19000244140625,269.489990234375,255.32000732421875,256.010009765625,161611900,14.285714285714286
2024-10-28,262.510009765625,262.510009765625,273.5400085449219,262.239990234375,270.0,107653600,21.42857142857143
2024-10-29,259.5199890136719,259.5199890136719,264.9800109863281,255.50999450683594,264.510009765625,80521800,21.42857142857143
2024-10-30,257.54998779296875,257.54998779296875,263.3500061035156,255.82000732421875,258.0400085449219,53993600,21.42857142857143
2024-10-31,249.85000610351562,249.85000610351562,259.75,249.25,257.989990234375,66575300,21.42857142857143
2024-11-01,248.97999572753906,248.97999572753906,254.0,246.6300048828125,252.0399932861328,57544800,21.42857142857143
2024-11-04,242.83999633789062,242.83999633789062,248.89999389648438,238.8800048828125,244.55999755859375,68802400,21.42857142857143
2024-11-05,251.44000244140625,251.44000244140625,255.27999877929688,246.2100067138672,247.33999633789062,69282500,21.42857142857143
2024-11-06,288.5299987792969,288.5299987792969,289.5899963378906,275.6199951171875,284.6700134277344,165228700,71.42857142857143
2024-11-07,296.9100036621094,296.9100036621094,299.75,285.5199890136719,288.8900146484375,117309200,78.57142857142857
2024-11-08,321.2200012207031,321.2200012207031,328.7099914550781,297.6600036621094,299.1400146484375,204782800,85.71428571428572
2024-11-11,350.0,350.0,358.6400146484375,336.0,346.29998779296875,210521600,92.85714285714286
2024-11-12,328.489990234375,328.489990234375,345.8399963378906,323.30999755859375,342.739990234375,155726000,92.85714285714286
2024-11-13,330.239990234375,330.239990234375,344.6000061035156,322.5,335.8500061035156,125405600,35.714285714285715
2024-11-14,311.17999267578125,311.17999267578125,329.9800109863281,310.3699951171875,327.69000244140625,120726100,35.714285714285715
2024-11-15,320.7200012207031,320.7200012207031,324.67999267578125,309.2200012207031,310.57000732421875,114440300,35.714285714285715
2024-11-18,338.739990234375,338.739990234375,348.54998779296875,330.010009765625,340.7300109863281,126085600,35.714285714285715
2024-11-19,346.0,346.0,347.3800048828125,332.75,335.760009765625,88852500,35.714285714285715
2024-11-20,342.0299987792969,342.0299987792969,346.6000061035156,334.29998779296875,345.0,66340700,35.714285714285715
2024-11-21,339.6400146484375,339.6400146484375,347.989990234375,335.2799987792969,343.80999755859375,58011700,35.714285714285715
2024-11-22,352.55999755859375,352.55999755859375,361.5299987792969,337.70001220703125,341.0899963378906,89140700,100.0
2024-11-25,338.5899963378906,338.5899963378906,361.92999267578125,338.20001220703125,360.1400146484375,95890900,100.0
2024-11-26,338.2300109863281,338.2300109863281,346.9599914550781,335.6600036621094,341.0,62295900,92.85714285714286
2024-11-27,332.8900146484375,332.8900146484375,342.54998779296875,326.5899963378906,341.79998779296875,57896400,85.71428571428572
2024-11-29,345.1600036621094,345.1600036621094,345.45001220703125,334.6499938964844,336.0799865722656,37167600,78.57142857142857
2024-12-02,357.0899963378906,357.0899963378906,360.0,351.1499938964844,352.3800048828125,77986500,42.85714285714286
2024-12-03,351.4200134277344,351.4200134277344,355.69000244140625,348.20001220703125,351.79998779296875,58267200,42.85714285714286
2024-12-04,357.92999267578125,357.92999267578125,358.1000061035156,348.6000061035156,353.0,50810900,42.85714285714286
2024-12-05,369.489990234375,369.489990234375,375.42999267578125,359.5,359.8699951171875,81403600,92.85714285714286
2024-12-06,389.2200012207031,389.2200012207031,389.489990234375,370.79998779296875,377.4200134277344,81455800,100.0
2024-12-09,389.7900085449219,389.7900085449219,404.79998779296875,378.010009765625,397.6099853515625,96359200,50.0
2024-12-10,400.989990234375,400.989990234375,409.7300109863281,390.8500061035156,392.67999267578125,97563600,57.142857142857146
2024-12-11,424.7699890136719,424.7699890136719,424.8800048828125,402.3800048828125,409.70001220703125,104287600,64.28571428571429
2024-12-12,418.1000061035156,418.1000061035156,429.29998779296875,415.0,424.8399963378906,87752200,71.42857142857143
2024-12-13,436.2300109863281,436.2300109863281,436.29998779296875,415.7099914550781,420.0,89000200,78.57142857142857
2024-12-16,463.0199890136719,463.0199890136719,463.19000244140625,436.1499938964844,441.0899963378906,114083800,85.71428571428572
2024-12-17,479.8599853515625,479.8599853515625,483.989990234375,457.510009765625,475.8999938964844,131223000,92.85714285714286
2024-12-18,440.1300048828125,440.1300048828125,488.5400085449219,427.010009765625,466.5,149340800,100.0
